"Year","Total_Domestic_Cigarettes","Total_Import_Cigarettes","Cig_Domestic_Per_Capita","Cig_Imports_Per_Capita","Total_Domestic_Tobacco","Total_Imports_Tobacco","Per_Capita_Domestic_Tobacco","Per_Capita_Imports_Tobacco","Total_Domestic_Chewing","Total_Chewing_Imports","Domestic_Per_Capita_Chewing_Tobacco","Imports_Per_Capita_Chewing_Tobacco"
2000,4.2325e+11,12319663000,2018,59,888357608356,28395244568,325.887076923077,10.4615384615385,45502156,91965,0.217,0
2001,4.12031e+11,14688910000,1940,69,861456473096,34051515644,311.966307692308,12.3076923076923,49397524,102162,0.233,0
2002,3.94872e+11,20851781000,1839,97,830186997520,46532488445,297.350076923077,16.6154615384615,47095214,215769,0.219,0.001
2003,3.77242e+11,23085086000,1738,106,796501366994,51118156633,282.273461538462,18.077,45906067,174399,0.211,0.001
2004,3.74978e+11,22677777000,1708,103,795675704975,50089679632,278.734692307692,17.5385384615385,42940196,208894,0.196,0.001
2005,3.62964e+11,18134795000,1635,82,779331596380,43295937178,270.041230769231,15.0000769230769,38883276,315916,0.175,0.001
2006,3.64437e+11,16156451000,1623,72,783973762423,39328490610,268.581384615385,13.4616153846154,38862076,235747,0.173,0.001
2007,3.48317e+11,13272402000,1533,58,755487184343,35353467849,255.734,11.9231538461538,35086655,217387,0.154,0.001
2008,3.35384e+11,11035202000,1459,48,736032909389,31522700476,246.196538461538,10.5386153846154,33123840,322100,0.144,0.001
2009,3.08388e+11,9348209000,1327,40,680255074393,28556407400,225.041384615385,9.46169230769231,30228068,197018,0.13,0.001
2010,2.92754e+11,7696903000,1245,33,659854717018,27602770512,215.810769230769,9.00015384615385,27422318,192666,0.117,0.001
2011,2.86353e+11,6416560000,1205,27,660902191737,26271496659,213.810615384615,8.46176923076923,24636069,164463,0.104,0.001
2012,2.79838e+11,7348808000,1165,31,650401880980,29818755411,208.272846153846,9.61561538461538,23800851,345143,0.099,0.001
2013,2.66088e+11,7697423000,1097,32,620561603858,34803986152,196.811769230769,11.0003846153846,21944042,489659,0.09,0.002
2014,2.54487e+11,8194703000,1038,33,591790272318,40341508503,185.657692307692,12.5389230769231,21335199,630212,0.087,0.003
2015,2.59721e+11,8540221000,1048,34,597106820812,43112497644,185.273076923077,13.2311538461538,19352433,858688,0.078,0.003
2016,2.49825e+11,7.629e+09,1001,31,572034166535,43847379260,176.273153846154,13.5389230769231,18913518,1092411,0.076,0.004
2017,2.39297e+11,7866487000,949,32,550994167052,44886165763,168.195384615385,13.7696923076923,17479594,1003775,0.069,0.004
2018,2.26917e+11,8403294000,894,33,521325017803,51084165673,157.923076923077,15.3846153846154,16781079,1285902,0,0
2019,2.13401e+11,10031711000,836,39,490596405687,55424283968,144.529923076923,19.9138461538462,14925017,1026296,0.058,0.004
2020,2.15859e+11,12706364000,841,49,492002857858,52478098121,145.288076923077,17.8306153846154,15027164,690399,0.059,0.003
2021,2.09639e+11,11124538000,812,43,471642844369,57223261397,138.691692307692,18.8085384615385,14035188,648062,0.054,0.003
