Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
1,Apatosaurus_minimus,not,Sauropodomorpha,Macronaria,Macronaria,Kimmeridgian,Tithonian,,,,,,,,,,,,,,Mook 1917; ilium and sacrum; AMNH 675,Pubis is slightly incomplete proximally,0,0,"AMNH, American Museum of Natural History, New York, USA",AMNH 675,,,,,,,,,,
2,Cetiosauriscus_greppini,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Early_Kimmeridgian,Early_Kimmeridgian,,,,,520,,560,,,,,,,Huene 1922; Meyer & Thüring 2003,bonebed,0,1,"HM, Naturhistorisches Museum Basel, Switzerland","HM 260 (humerus), 340 (ulna), 349, 372 (femora), 342, 339, 387 (tibiae) and other specimens",,,,,,,,,,
3,Cetiosaurus_glymptonensis,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Late_Bathonian,Late_Bathonian,,,,,,,,,,,,,,Phillips 1871; Upchurch & Martin 2003; caudal vertebrae only,,0,0,"OUMNH, Oxford University Museum of Natural History, Oxford, UK",OUMNH J.13750-13758,,,,,,,,,,
4,Gyposaurus_sinensis,not,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Hettangian,Hettangian,235.5,,,22,202,,150,,21,,,85,101,Young 1941; 'V27' 'the most part of a large individual',juvenile,1,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",V27 (larger individual),,,72.5998144,0.0484,FC_for_bipedal_dinosaurs_using_FAP_and_equation_.8.,,,,26.64897292,0.203344796
5,Huanghetitan_ruyangensis,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Cenomanian,Turonian,,,,,,,,,,,,,,"Lu et al. 2007a; 6 sacral and 10 caudal vertebrae, ribs and partial ischium",,0,0,"HGM, Henan Geological Museum, Zhengzhou, China",HGM 41HIII-0001,,,,,,,,,,
6,Morosaurus_agilis,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Kimmeridgian,Tithonian,,,,,,,,,,,,,,Gilmore 1907; USNM 5384; posterior skull and cervical vertebrae only referred with certainty,,0,0,"USNM, United Stated National Museum, Washington DC, USA",USNM 5384,,,,,,,,,,
7,Pelorosaurus_becklesii,Pelorosaurus_becklesii,Sauropodomorpha,Titanosauria,Titanosauria,Berriasian,Valanginian,,,,,,,600,,113,76,,414,,NHMUK 1868 (PDM),,0,0,"NHMUK, Natural History Museum, London, UK",NHMUK 1868,,299.73,383.82,0.043182086,FC_for_quadrupedal_sauropodomorphs_using_HCe,314.94,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,5194.05149,0.215999688
8,Yunnanosaurus_youngi,not,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Middle_Jurassic,Middle_Jurassic,,,,,,,,,,,,,,Lü et al. 2007b,,0,0,"CXMVZA, Chuxiong Museum, Yunnan, China",Chuxiong Museum (CXMVZA 185).,,,,,,,,,,
9,Aardonyx_celestae,Aardonyx,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Hettangian,Sinemurian,,,,,,,,,,,,283,198,"Yates et al. 2009; measurements of larger individual; femur of smaller individual known (BP/1/6510; length = 681; mediolateral width at midshaft = 91, circumference=285); radius and mt III of the 'larger individual' reported by Yates et al. (2009) both 1.2 times as long as those of the 'smaller individual'","juveniles, bonebed (hypothetical 'larger individual' documented here, but was 'still growing' at the time of death)",1,0,"BPI, Bernard Price Institute, Witswatersrand University, Johannesburg, South Africa",BP/1/6254 and other specimens,,,,,,,,,,
10,Abrosaurus_dongpoensis,not,Sauropodomorpha,Macronaria,Macronaria,Bajocian,Callovian,,,,,,,,,,,,,,Hui 1989; skull only,,0,0,"ZDM, Zigong Dinosaur Museum, Zigong, China",ZDM 5038,,,,,,,,,,
