Time,max_ma,min_ma,Period
Early Maastrichtian,70.6,66,Cretaceous
Edmontonian,70.6,66,Cretaceous
Lancian,70.6,66,Cretaceous
Late Maastrichtian,70.6,66,Cretaceous
Maastrichtian,72.1,66,Cretaceous
Early Campanian,83.5,70.6,Cretaceous
Haumurian,83.5,66,Cretaceous
Judithian,83.5,70.6,Cretaceous
Late Campanian,83.5,70.6,Cretaceous
Middle Campanian,83.5,70.6,Cretaceous
Campanian,83.6,72.1,Cretaceous
Early Santonian,85.8,83.5,Cretaceous
Late Santonian,85.8,83.5,Cretaceous
Middle Santonian,85.8,83.5,Cretaceous
Piripauan,85.8,83.5,Cretaceous
Santonian,86.3,83.6,Cretaceous
Early Coniacian,89.3,85.8,Cretaceous
Late Coniacian,89.3,85.8,Cretaceous
Middle Coniacian,89.3,85.8,Cretaceous
Senonian,89.3,66,Cretaceous
Teratan,89.3,85.8,Cretaceous
Coniacian,89.8,86.3,Cretaceous
Mangaotanean,92.1,89.3,Cretaceous
Early Turonian,93.5,89.3,Cretaceous
Late Turonian,93.5,89.3,Cretaceous
Middle Turonian,93.5,89.3,Cretaceous
Turonian,93.9,89.8,Cretaceous
Arowhanan,95.2,92.1,Cretaceous
Early Cenomanian,99.6,93.5,Cretaceous
Late Cenomanian,99.6,93.5,Cretaceous
Middle Cenomanian,99.6,93.5,Cretaceous
Ngaterian,99.6,95.2,Cretaceous
Cenomanian,100.5,93.9,Cretaceous
Late Cretaceous,100.5,66,Cretaceous
Motuan,103.3,99.6,Cretaceous
Late Albian,105.3,99.6,Cretaceous
Urutawan,108.4,103.3,Cretaceous
Middle Albian,109,105.3,Cretaceous
Early Albian,112.03,109,Cretaceous
Albian,113,100.5,Cretaceous
Late Aptian,122.46,112.03,Cretaceous
Aptian,125,113,Cretaceous
Early Aptian,125.45,122.46,Cretaceous
Barremian,129.4,125,Cretaceous
Early Barremian,130,125.45,Cretaceous
Late Barremian,130,125.45,Cretaceous
Hauterivian,132.9,129.4,Cretaceous
Early Hauterivian,136.4,130,Cretaceous
Late Hauterivian,136.4,130,Cretaceous
Valanginian,139.8,132.9,Cretaceous
Early Valanginian,140.2,136.4,Cretaceous
Late Valanginian,140.2,136.4,Cretaceous
Berriasian,145,139.8,Cretaceous
Cretaceous,145,66,Cretaceous
Early Berriasian,145,140.2,Cretaceous
Early Cretaceous,145,100.5,Cretaceous
Late Berriasian,145,140.2,Cretaceous
Middle Berriasian,145,140.2,Cretaceous
Neocomian,145,130,Cretaceous
Puaroan,148.5,145,Jurassic
Early Tithonian,150.8,145,Jurassic
Late Tithonian,150.8,145,Jurassic
Middle Tithonian,150.8,145,Jurassic
Tithonian,152.1,145,Jurassic
Ohauan,153.5,148.5,Jurassic
Early Kimmeridgian,155.7,150.8,Jurassic
Late Kimmeridgian,155.7,150.8,Jurassic
